#options: 1920x1080 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=367 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:45.98 aq:37.44 tex:91147 mv:36782 misc:359 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:47.66 aq:42.17 tex:2424 mv:2392 misc:1632 imb:149 pmb:177 smb:7834 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:47.66 aq:46.64 tex:127 mv:258 misc:559 imb:1 pmb:31 smb:8128 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:47.66 aq:45.98 tex:28 mv:28 misc:416 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:47.66 aq:45.12 tex:47 mv:66 misc:447 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:47.81 aq:41.90 tex:4505 mv:6613 misc:3538 imb:250 pmb:635 smb:7275 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:47.74 aq:45.48 tex:435 mv:497 misc:644 imb:11 pmb:53 smb:8096 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:47.70 aq:46.24 tex:157 mv:120 misc:507 imb:2 pmb:19 smb:8139 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:47.78 aq:48.04 tex:82 mv:142 misc:488 imb:1 pmb:16 smb:8143 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:47.94 aq:41.19 tex:5600 mv:6850 misc:3758 imb:289 pmb:640 smb:7231 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:47.88 aq:44.26 tex:454 mv:598 misc:820 imb:8 pmb:82 smb:8070 d:- ref:0 ;
